Title,Journal,Abstract
Virtual patient simulation: Promotion of clinical reasoning abilities of medical students,KNOWLEDGE MANAGEMENT & E-LEARNING-AN INTERNATIONAL JOURNAL,"Objectives: Virtual patient simulation (VPS) is used in the education of health care professionals. This method brings an opportunity for the learner to examine necessary diagnostic and therapeutic skills. The aim of this study was to assess the efficacy of VPS on clinical reasoning abilities of medical students and to evaluate their attitude towards VPS in clinical endocrinology course in a teacher centered educational environment. Methods: Fifty-one medical students in their 6th academic year were simply randomized in two groups, the simulation and the control. The students in the simulation group were provided by an application which presented them virtual case scenarios on diagnosis and management of thyroid nodules and osteomalacia. All the students sat for a diagnostic test at the beginning and at the end of the course. The test comprised a series of essay questions matched for their academic level and closely related to the case scenarios. They were also asked to complete a questionnaire to assess their attitude towards the application. Results: Participants in both groups did not have any statistical differences in scientific background in basic sciences (P=0.672) and prior clinical examinations (P=0.376). At completion of the course the mean score of the students in the simulation group improved significantly compared to the students in the control group by 3.5 vs. 1.0 points (P=0.001). The students found the application worthful and showed a positive attitude towards it. Conclusions: Virtual patient simulation improved clinical reasoning abilities of medical students in the context of a traditional teaching/learning environment."
The Utility of Virtual Patient Simulations for Clinical Reasoning Education,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,"Virtual Patient Simulations (VPSs) have been cited as a novel learning strategy, but there is little evidence that VPSs yield improvements in clinical reasoning skills and medical knowledge. This study aimed to clarify the effectiveness of VPSs for improving clinical reasoning skills among medical students, and to compare improvements in knowledge or clinical reasoning skills relevant to specific clinical scenarios. We enrolled 210 fourth-year medical students in March 2017 and March 2018 to participate in a real-time pre-post experimental design conducted in a large lecture hall by using a clicker. A VPS program ((R)Body Interact, Portugal) was implemented for one two-hour class session using the same methodology during both years. A pre-post 20-item multiple-choice questionnaire (10 knowledge and 10 clinical reasoning items) was used to evaluate learning outcomes. A total of 169 students completed the program. Participants showed significant increases in average total post-test scores, both on knowledge items (pre-test: median = 5, mean = 4.78, 95% CI (4.55-5.01); post-test: median = 5, mean = 5.12, 95% CI (4.90-5.43);p-value = 0.003) and clinical reasoning items (pre-test: median = 5, mean = 5.3 95%, CI (4.98-5.58); post-test: median = 8, mean = 7.81, 95% CI (7.57-8.05);p-value < 0.001). Thus, VPS programs could help medical students improve their clinical decision-making skills without lecturer supervision."
Assessing clinical reasoning in undergraduate medical students during history taking with an empirically derived scale for clinical reasoning indicators,BMC MEDICAL EDUCATION,"Background The clinical reasoning process, which requires biomedical knowledge, knowledge about problem-solving strategies, and knowledge about reasons for diagnostic procedures, is a key element of physicians' daily practice but difficult to assess. The aim of this study was to empirically develop a Clinical Reasoning Indicators-History Taking-Scale (CRI-HT-S) and to assess the clinical reasoning ability of advanced medical students during a simulation involving history taking. Methods The Clinical Reasoning Indictors-History Taking-Scale (CRI-HT-S) including a 5-point Likert scale for assessment was designed from clinical reasoning indicators identified in a qualitative study in 2017. To assess indicators of clinical reasoning ability, 65 advanced medical students (semester 10, n = 25 versus final year, n = 40) from three medical schools participated in a 360-degree competence assessment in the role of beginning residents during a simulated first workday in hospital. This assessment included a consultation hour with five simulated patients which was videotaped. Videos of 325 patient consultations were assessed using the CRI-HT-S. A factor analysis was conducted and the students' results were compared according to their advancement in undergraduate medical training. Results The clinical reasoning indicators of the CRI-HT-S loaded on three factors relevant for clinical reasoning: 1) focusing questions, 2) creating context, and 3) securing information. Students reached significantly different scores (p < .001) for the three factors (factor 1: 4.07 +/- .47, factor 2: 3.72 +/- .43, factor 3: 2.79 +/- .83). Students in semester 10 reached significantly lower scores for factor 3 than students in their final year (p < .05). Conclusions The newly developed CRI-HT-S worked well for quantitative assessment of clinical reasoning indicators during history taking. Its three-factored structure helped to explore different aspects of clinical reasoning. Whether the CRI-HT-S has the potential to be used as a scale in objective structured clinical examinations (OCSEs) or in workplace-based assessments of clinical reasoning has to be investigated in further studies with larger student cohorts."
Online patient simulation training to improve clinical reasoning: a feasibility randomised controlled trial,BMC MEDICAL EDUCATION,"Background Online patient simulations (OPS) are a novel method for teaching clinical reasoning skills to students and could contribute to reducing diagnostic errors. However, little is known about how best to implement and evaluate OPS in medical curricula. The aim of this study was to assess the feasibility, acceptability and potential effects of eCREST - the electronic Clinical Reasoning Educational Simulation Tool. Methods A feasibility randomised controlled trial was conducted with final year undergraduate students from three UK medical schools in academic year 2016/2017 (cohort one) and 2017/2018 (cohort two). Student volunteers were recruited in cohort one via email and on teaching days, and in cohort two eCREST was also integrated into a relevant module in the curriculum. The intervention group received three patient cases and the control group received teaching as usual; allocation ratio was 1:1. Researchers were blind to allocation. Clinical reasoning skills were measured using a survey after 1 week and a patient case after 1 month. Results Across schools, 264 students participated (18.2% of all eligible). Cohort two had greater uptake (183/833, 22%) than cohort one (81/621, 13%). After 1 week, 99/137 (72%) of the intervention and 86/127 (68%) of the control group remained in the study. eCREST improved students' ability to gather essential information from patients over controls (OR = 1.4; 95% CI 1.1-1.7,n = 148). Of the intervention group, most (80/98, 82%) agreed eCREST helped them to learn clinical reasoning skills. Conclusions eCREST was highly acceptable and improved data gathering skills that could reduce diagnostic errors. Uptake was low but improved when integrated into course delivery. A summative trial is needed to estimate effectiveness."
Case-Based Teaching: Does the Addition of High-Fidelity Simulation Make a Difference in Medical Students' Clinical Reasoning Skills?,MEDICAL SCIENCE EDUCATOR,"ContextSituativity theory posits that learning and the development of clinical reasoning skills are grounded in context. In case-based teaching, this context comes from recreating the clinical environment, through emulation, as with manikins, or description. In this study, we sought to understand the difference in student clinical reasoning abilities after facilitated patient case scenarios with or without a manikin.MethodsFourth-year medical students in an internship readiness course were randomized into patient case scenarios without manikin (control group) and with manikin (intervention group) for a chest pain session. The control and intervention groups had identical student-led case progression and faculty debriefing objectives. Clinical reasoning skills were assessed after the session using a 64-question script concordance test (SCT). The test was developed and piloted prior to administration. Hospitalist and emergency medicine faculty responses on the test items served as the expert standard for scoring.ResultsNinety-six students were randomized to case-based sessions with (n=48) or without (n=48) manikin. Ninety students completed the SCT (with manikin n=45, without manikin n=45). A statistically significant mean difference on test performance between the two groups was found (t=3.059, df=88, p=.003), with the manikin group achieving higher SCT scores.ConclusionUse of a manikin in simulated patient case discussion significantly improves students' clinical reasoning skills, as measured by SCT. These results suggest that using a manikin to simulate a patient scenario situates learning, thereby enhancing skill development."
Teaching diagnostic reasoning: using simulation and mixed practice to build competence,CANADIAN JOURNAL OF EMERGENCY MEDICINE,"The acquisition of competence in diagnostic reasoning is essential for medical trainees. Exposure to a variety of patient presentations helps develop the skills of diagnostic reasoning, but reliance on ad hoc clinical encounters is inefficient and does not guarantee timely exposure for all trainees. We present a novel teaching series led by emergency physicians that builds upon the existing medical education literature to teach diagnostic reasoning to preclinical (2nd year) medical students. The series used emergency department simulations involving patient actors and simulated vital signs to provide students with exposure to three acute care presentations: chest pain, abdominal pain, and headache. Emergency physicians coached and provided immediate feedback to the students as they actively worked through diagnostic reasoning. The participating medical students reported benefit from these sessions immediately following the sessions and in an 18-month follow-up survey where the students could consider the impact of the sessions on their clinical clerkship. Students felt that the sessions had assisted them in recognizing the key features of relevant diagnoses during clerkship as well as providing a helpful adjunct to their in-class learning."
Utilization of the Nursing Process to Foster Clinical Reasoning During a Simulation Experience,SAGE OPEN,"Nursing practice includes complex reasoning and multifaceted decision making with minimal standardized guidance in how to evaluate this phenomenon among nursing students. Learning outcomes related to the clinical reasoning process among novice baccalaureate nursing students during a simulation experience were evaluated. Nursing process records were utilized to evaluate and foster the development of clinical reasoning in a high-fidelity medical-surgical simulation experience. Students were unable to describe and process pertinent patient information appropriately prior to the simulation experience. Students' ability to identify pertinent patient cues and plan appropriate patient care improved following the simulation. The learning activity afforded a structured opportunity to identify cues, prioritize the proper course of nursing interventions, and engage in collaboration among peers. The simulation experience provides faculty insight into the students' clinical reasoning processes, while providing students with a clear framework for successfully accomplishing learning outcomes."
The Use of Contextualized Standardized Client Simulation to Develop Clinical Reasoning in Final-Year Veterinary Students,JOURNAL OF VETERINARY MEDICAL EDUCATION,"Clinical reasoning is an important skill for veterinary students to develop before graduation. Simulation has been studied in medical education as a method for developing clinical reasoning in students, but evidence supporting it is limited. This study involved the creation of a contextualized, standardized client simulation session that aimed to improve the clinical reasoning ability and confidence of final-year veterinary students. Sixty-eight participants completed three simulated primary-care consultations, with the client played by an actor and the pet by a healthy animal. Survey data showed that all participants felt that the session improved their clinical decision-making ability. Quantitative clinical reasoning self-assessment, performed using a validated rubric, triangulated this finding, showing an improvement in students' perception of several components of their clinical reasoning skill level from before the simulation to after it. Blinded researcher analysis of the consultation video recordings found that students showed a significant increase in ability on the history-taking and making-sense-of-data (including formation of a differential diagnosis) components of the assessment rubric. Thirty students took part in focus groups investigating their experience with the simulation. Two themes arose from thematic analysis of these data: variety of reasoning methods and It's a different way of thinking. The latter highlights differences between the decision making students practice during their time in education and the decision making they will use once they are in practice. Our findings suggest that simulation can be used to develop clinical reasoning in veterinary students, and they demonstrate the need for further research in this area."
Development of simulation education debriefing protocol with faculty guide for enhancement clinical reasoning,BMC MEDICAL EDUCATION,"BackgroundThe clinical environments are more complex, diverse and rapidly changing. Patients' conditions were chronic and complexed, healthcare providers require clinical reasoning for patient safety care. One of the learning methods to foster clinical reasoning is simulation education. The aim of this study was to develop a simulation education debriefing protocol that can improve clinical reasoning.MethodsThis study was conducted following steps. For the first step, the literature review was performed to constitute a preliminary debriefing protocol. Secondly, content validity was evaluated by five simulation learning experts. Thirdly, in-depth interview was conducted to re-examine content validity with education experts. Finally, the final debriefing protocol was applied to 7 undergraduate nursing students to examine feasibility of the protocol.ResultsThe protocol consisted of debriefing steps, learning outcome, clinical reasoning attributes, core questions and guideline for instructor. Results of applicability of debriefing protocol represented that participants mentioned their reasoning competency was improved and understood the overall flow of reasoning.ConclusionsThe debriefing protocol is important to educate healthcare providers clinical reasoning. It would be able to contribute to develop healthcare providers' clinical competencies."
Integrated Case Learning: teaching clinical reasoning,ADVANCES IN HEALTH SCIENCES EDUCATION,"Learning how to 'think like doctors' can be difficult for undergraduate medical students in their early clinical years. Our model of collaborative Integrated Case Learning (ICL) and simulated clinical reasoning aims to address these issues. Taking a socio-cultural perspective, this study investigates the reflective learning interactions and practices of clinical thinking that emerged in the ICL environment. We also explore how third year medical students perceived their ICL experiences in relation to the clinical situations encountered in the hospital setting. The context for the inquiry is a rural Clinical School in North West Victoria, Australia. We used a qualitative case study methodology following eight third-year medical students over an academic year. Individual and group interviews were conducted, together with observations and document/artefact analysis. Data was analysed using content and narrative methods. The ICL program was well received. Findings suggest that the group-based, simulated clinical reasoning process appears to help undergraduate medical students to rehearse, articulate and question their clinical decision-making pathways. We argue that the ICL process offers a professionally challenging, but supportive group learning 'space' for students to practise what it might mean to 'think', 'talk' and 'perform' like doctors in real settings. The ICL environment also appears to create a connective bridge between the 'classroom' and clinical practice."
