Author ,Title,Journal,Abstract,Year
"Sanchez, Jafeth E.; Lowman, Jennifer L.; Hill, Kathleen A.",Performance and Persistence Outcomes of GEAR UP s: Leveling the Playing Field in Higher Education,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Given the major investment in the Gaining Early Awareness and Readiness for Undergraduate Programs (GEAR UP) grant, rising postsecondary access, trends in poor  and  rates, and the ongoing accountability measures in  , it is critical to examine factors related to postsecondary performance and  of GEAR UP s in comparison to their peers. College performance and  of 298 State GEAR UP s were compared with other first-time, first-year s (1,841) who entered a moderately selective, medium-sized public research  in Fall 2012. The GEAR UP s were more likely to be from disadvantaged, underrepresented backgrounds; despite less advantageous beginnings, they entered  with similar high school grade point average and Scholastic Assessment Test scores, though lower American College Test scores. Also, s' first-term grade point average and credit loads served as predictors of . Most importantly, GEAR UP s were just as likely to perform and persist as their peers.",2018
"Oseguera, Leticia; Rhee, Byung Shik",The Influence of Institutional Retention Climates on  Persistence to Degree Completion: A Multilevel Approach,RESEARCH IN HIGHER EDUCATION,"Using multi-institutional data from the Cooperative Institutional Research Program's (CIRP) annual survey of entering freshmen, the Higher Education Research Institute's (HERI) Faculty Surveys, campus registrars' offices, and IPEDS data, we evaluated the extent to which peer institutional  climates and faculty perceived campus climates influenced individual 6-year  rates. We used hierarchical generalized linear models (HGLM) to examine the extent to which institutional climate (as measured by peer institutional  climate and faculty perceived climate), net of s' ability, expectations, and family socioeconomic status, influence s'  behavior. We found that institutional  climate, as defined by a  body's aggregated report of withdrawal intentions, did independently determine whether a  would persist or not. While past research has overlooked peer and faculty climates, the results from this work call for the attention of peer institutional  climates.",2009
"Gansemer-Topf, Ann M.; Kollasch, Aurelia; Sun, Jie",A House Divided? Examining Persistence for On-Campus STEM and Non-STEM s,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Improving  , especially in science, technology, engineering, and mathematics (STEM) fields, continues to be at the forefront of national al policy discussions. Living in  housing, with its focus specifically on assisting s in transition, has consistently been positively related to  . Using institutional data and data from a first-year  transition study from all the first-year first-time residential s from Fall 2008 through Fall 2012 (N=17,850), this study examined the relationship between  characteristics and experiences and  for STEM and non-STEM s who live in on-campus housing. Results illustrate that experiences that contribute to  differ between STEM and non-STEM s. Noncognitive factors related to academic self-efficacy, academic adjustment, and degree aspiration positively affect residential s'  in STEM. Academic performance was a significant factor in institutional  for STEM and non-STEM s. Implications for future and practice are discussed.",2017
"Savage, Matthew W.; Strom, Renee E.; Hubbard, Amy S. Ebesu; Aune, Krystyna S.",Commitment in College  Persistence,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,This investigation theoretically extended Tinto's model of   by drawing on interpersonal communication research to elaborate on the role of commitment in  . College  departure literature was reviewed and critiqued concerning the conceptualization and measurement of commitment within the interactionalist model of  . Rusbult's investment model was used as an exploratory theoretical frame for understanding commitment between s and . Self-report measures of commitment and investment model predictors for s in   were included. Support was found for hypotheses using the investment model as a frame for understanding how both s' commitment and perceptions of their institution's commitment are relevant in understanding  in the   setting.,2019
"Coleman, Raphael D.; Wallace, Jason K.; Means, Darris R.",Questioning a Single Narrative: Multiple Identities Shaping Black Queer and Transgender  Retention,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Researchers explore factors that influence  and  of queer and transgender s and examine  and  among Black s. However, there is a dearth of  and  scholarship centering the nuanced experiences of Black queer and transgender  s at the intersections of their gender, racial, and sexual identities. Using the queer of color critique conceptual framework and an anti-Black racism lens, the authors present a systematic literature review to illuminate opportunities for scholars to (a) disrupt singular narratives that erase queer and transgender experiences from Black   discourses and (b) address the ways scholars erase Black racial identity from broader queer and transgender   research. Centering the case of Joshua, a Black queer cisgender male-identified  , the authors highlight research, practice, and policy implications that consider social class, institutional type, multilevel intervention strategies, and intersectionality in Black queer and transgender    discourse.",2020
"Li, Kam Cheong; Wong, Billy Tak-Ming",Factors Related to  Persistence in Open Universities: Changes Over the Years,INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING,"  has long been a major challenge for open universities. Despite the evolution of open , an overall high  attrition rate remains. This paper examines the changes and trends in factors related to   in open universities. It reviews the empirical studies from the 1970s to the 2010s which reported factors influencing  . The relevant studies were searched from databases, including Scopus, Web of Science, and Google Scholar. Among the 108 studies collected, a total of 284 factors influencing   were identified. The factors were categorised into  factors, institutional factors, and environmental factors. Their changes and trends over the years were examined. The results show that  factors were the most frequently studied over the years examined, with the major categories being s' psychological attributes and outcomes. Institutional factors have been increasingly studied in recent decades, with the design and delivery of programmes and courses being the strongest category. Finally, environmental factors have been decreasingly examined, with factors related to s' family and work being the two main categories. Based on the results, the implications for developing intervention and  strategies for   in open universities are discussed.",2019
"Miller, Nathan Brad; Bell, Bryan",Analytics to Action: Predictive Model Outcomes and a Communication Strategy for  Persistence,JOURNAL OF CONTINUING HIGHER EDUCATION,"Increased federal attention to  completion metrics and uncertain financial forecasts have heightened the tenor of   conversations. Improved institutional  rates will lead to  completion rates and relieve some funding concerns. To accomplish these improvements,  have invested in analytics to better understand   and completion factors. However, few studies outline how analytics are employed to positively influence  success and . This  outlines the creation of a predictive model for  , and details the use of the model outcomes to create a communication strategy intended to increase  . The methodology used to develop the  model and the results of the communication strategy are included.",2016
"Johnson, Dawn R.; Wasserman, Timothy H.; Yildirim, Nilay; Yonai, Barbara A.",Examining the Effects of Stress and Campus Climate on the Persistence of s of Color and White s: An Application of Bean and Eaton's Psychological Model of Retention,RESEARCH IN HIGHER EDUCATION,"The current study examined the effects of stress and campus climate perceptions on the  decisions of s of color and White s using Bean and Eaton's (2000) Psychological Model of College  Retention. A sample of first-year s (N = 1,491) at a predominantly White research  were survey enduring their second semester and their enrollment status was subsequently tracked after 2 years. Path analysis was conducted on the sample of s of color (n = 548) and White s (n = 943). Results indicated models that explained 27 % of the variance for s of color and 44 % of the variance for White s in  after 2 years of . Among the initial 37 variables included in the models, 17 had significant direct and indirect effects on s' of color  including observing racism on campus, having comfortable academic interactions, stress related to the academic environment, and feelings about the campus environment. For White s, 13 variables had significant direct and indirect effects on , including having opportunities for diverse peer interactions and comfortable academic interactions, stress related to the social environment on campus, and feelings about the campus environment. The discussion highlights the usefulness of the Bean and Eaton model for examining  for s of color and White s.",2014
"Gabi, Josephine; Sharpe, Sarah",Against the odds: an investigation into student persistence in UK higher education,STUDIES IN HIGHER EDUCATION,"This  focuses on   in Higher Education. It examines qualities that enable s to persist in their studies despite the challenges they face, and key factors interplaying with and affecting these qualities. This study utilised the explanatory mixed-methods approach. It comprised a faculty-wide survey which explained the relationships between and across variables. Focus group interviews explored significant predictors of s' . Results from this study showed that, among other things, key drivers of   were personal optimism, academic engagement, and positive relationships. s' decision to stay on and complete their studies determines their ; but there also remains a major role to be played by . Successful   tends to be a result of an intricate interaction between the 's personal factors and their environment - and the institution is a key component of that environment.",2021
"Christe, Barbara",Persistence Factors Associated With First-Year Engineering Technology Learners,JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE,"Engineering technology learners are understudied group that comprise the T of the science, technology, engineering, and mathematics disciplines. Attrition from engineering technology majors is a profound and complex challenge, as substantially less than half of s who begin an engineering technology major persist through the first year. The purpose of this phenomenological study was to explore and document the authentic lived experiences of retained freshman engineering technology s at a Midwestern urban  in order to explore the factors associated with first-year  in the discipline, with particular emphasis on the 's relationship with the institution. Using NVivo 10, seven themes emerged from the interviews of successful first-year learners including personal goals, classmate collaboration, faculty relationships, uneasy beginning, work effort, adaptability, and campus involvement. The study results suggested that social activities outside the classroom may not play a specific role in learner  and that engineering technology s possessed strong goal clarity and degree commitment.",2015
